"sigma_P","gamma","mu_EI","b_3","sigma_M","rho","b_1","b_2","mu_H","N_0","E_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
0.00019,0.142857142857143,0.1,-10.3289018782592,4.10260169414862,0.67443848322614,-0.573660031306727,1.39870800047544,3.68e-05,5301405,182812.66061448,4689.27977622512,0,0,0,0,0,-274.383385546488,522196393
0.00019,0.142857142857143,0.1,-10.1433309070066,4.14228560988239,0.402657752637807,-0.285461158844825,1.07202750673459,3.67999999999999e-05,5301405,182812.371007273,4688.99306208635,0,0,0,0,0,-293.618531256966,374000258
0.00019,0.142857142857143,0.1,-10.0576392932296,5.03540865531303,0.612568429378835,-1.24235485224325,2.71977359554094,3.68e-05,5301405,182813.301341143,4688.43605666594,0,0,0,0,0,-303.734989282217,513535296
0.00019,0.142857142857143,0.1,-7.85012306719755,9.73823676687931,0.715084170785417,1.23130570686744,0.722850831249279,3.68e-05,5301405,182813.162985338,4690.02849831831,0,0,0,0,0,-286.042743992658,11221195
0.00019,0.142857142857143,0.1,-15.5159619236345,10.7514328220586,0.819599935263235,4.64690557890409,1.69506781697515,3.68e-05,5301405,257812.198206742,229688.28566746,0,0,0,0,0,-296.559494391566,351095576
0.00019,0.142857142857143,0.1,-15.621119222993,10.9500634571321,0.825984897228145,5.50611211366804,1.89880812306529,3.68e-05,5301405,257811.980052833,229687.470487776,0,0,0,0,0,-296.81938367151,6390017
0.00019,0.142857142857143,0.1,-15.6408900518908,10.8959003421626,0.831573751752844,5.20888745691859,1.6376420425976,3.68e-05,5301405,257812.169831199,229685.359938183,0,0,0,0,0,-296.731488460412,228294302
0.00019,0.142857142857143,0.1,-16.2893065295145,11.1172355946506,0.798483009682762,5.8643760889357,1.94645346416827,3.68e-05,5301405,257811.798587814,229687.777836143,0,0,0,0,0,-297.41860983869,201821769
0.00019,0.142857142857143,0.1,-13.8976146402406,10.5875422532486,0.786379518293098,4.2652643848027,1.13127650068227,3.68e-05,5301405,257812.293830271,229687.875879466,0,0,0,0,0,-295.49209534392,636684067
0.00019,0.142857142857143,0.1,-2.80687599651264,0.571647221892179,0.0299085231603974,-0.483811948511139,-2.62335013599792,3.67999999999999e-05,5301405,107812.826753118,79689.0450359484,0,0,0,0,0,-165.580690008959,167415758
0.00019,0.142857142857143,0.1,-2.81462033332864,0.579621959547149,0.0318940550674865,-0.451057384441414,-2.66623928973275,3.68e-05,5301405,107812.033331251,79687.1110401288,0,0,0,0,0,-165.708869071035,544084553
0.00019,0.142857142857143,0.1,-2.84168253461551,0.589089324261949,0.0342426530458284,-0.414093351446253,-2.70339548070952,3.68e-05,5301405,107811.573851749,79687.6792040923,0,0,0,0,0,-166.015900647791,922589735
0.00019,0.142857142857143,0.1,-2.81278799656368,0.570073355345618,0.0296591939780147,-0.484283031053889,-2.61080075594919,3.68e-05,5301405,107813.475546684,79687.1291839093,0,0,0,0,0,-165.562703929077,778249123
0.00019,0.142857142857143,0.1,-2.80694442472924,0.572739013525987,0.0297253547072901,-0.48511208632872,-2.61987013484016,3.68e-05,5301405,107815.052370891,79689.9071648419,0,0,0,0,0,-165.575569193914,430024342
0.00019,0.142857142857143,0.1,-5.75954342241551,0.00911986670712255,0.0169945947047719,2.09414312150155,-1.81552591587513,3.68e-05,5301405,295313.254071072,267189.709809773,0,0,0,0,0,-920.230364801363,977081845
0.00019,0.142857142857143,0.1,-5.73532615417394,0.060119236055324,0.093329062029956,3.01522388502482,-4.05029983960747,3.68e-05,5301405,295312.275027948,267186.600779475,0,0,0,0,0,-926.159799708688,785998673
0.00019,0.142857142857143,0.1,-5.85574239424561,0.0140525642500755,0.017355660126377,2.1461301426581,-1.81000854534208,3.68000000000001e-05,5301405,295313.149066191,267185.94896933,0,0,0,0,0,-920.662129300269,503053780
0.00019,0.142857142857143,0.1,-5.42340282339898,0.00595040183455521,0.0156897585921793,1.90577105019623,-1.84734477713292,3.68e-05,5301405,295314.579698608,267186.492737925,0,0,0,0,0,-919.765621243558,487882388
0.00019,0.142857142857143,0.1,-5.58950858982383,0.0146282546116056,0.0163280810618587,2.00067478039826,-1.83149704978624,3.68e-05,5301405,295312.818140025,267187.299965716,0,0,0,0,0,-920.477904369798,571865965
0.00019,0.142857142857143,0.1,0.78890149870915,1.59206841427006,0.418734608196359,6.07653591150549,6.13701814995086,3.67999999999999e-05,5301405,145313.092904321,117188.776464924,0,0,0,0,0,-198.563684263149,498462537
0.00019,0.142857142857143,0.1,0.804071859896851,1.59065292084319,0.418316584532049,6.07146301904539,6.08657888708934,3.68e-05,5301405,145312.539271283,117187.878998144,0,0,0,0,0,-198.569229903012,195627016
0.00019,0.142857142857143,0.1,0.81321231783633,1.59274408114579,0.404255252028064,6.0093600445591,6.34577165477679,3.68e-05,5301405,145314.896263522,117188.737210177,0,0,0,0,0,-198.549797551087,377741060
0.00019,0.142857142857143,0.1,0.813934779979746,1.59313377499868,0.412357688891923,6.03789113997927,6.19799002356598,3.68e-05,5301405,145312.190098766,117187.499547238,0,0,0,0,0,-198.559366147673,662062388
0.00019,0.142857142857143,0.1,0.807039697768545,1.59109442272734,0.411559612308871,6.04135695938332,6.22835843816678,3.68e-05,5301405,145313.254112016,117188.117485576,0,0,0,0,0,-198.55489772579,97844628
0.00019,0.142857142857143,0.1,-2.82220832627727,0.589977845485732,0.0324864299329136,-0.431058740198096,-2.63313751250958,3.68e-05,5301405,70314.5790446158,192186.93942566,0,0,0,0,0,-166.444413530952,829445766
0.00019,0.142857142857143,0.1,-2.74117556703459,1.24814098982861,0.110266749898081,-0.501869120877816,-1.18280062433344,3.68e-05,5301405,70315.2418590573,192187.014057849,0,0,0,0,0,-190.358402651491,1061260832
0.00019,0.142857142857143,0.1,-2.82592219852291,0.586328151028627,0.0326539355333434,-0.426445225286345,-2.63879825126651,3.68e-05,5301405,70313.2270018142,192189.346682739,0,0,0,0,0,-166.42706233252,291976575
0.00019,0.142857142857143,0.1,-2.82134224782482,0.592808874384702,0.0324369525339827,-0.43060266560567,-2.6365398994615,3.68e-05,5301405,70312.1544544596,192187.01709127,0,0,0,0,0,-166.449278999604,628308125
0.00019,0.142857142857143,0.1,-2.7649560661668,8.74797825730654,0.421682217857386,-0.973425382405831,-1.05764800885302,3.68e-05,5301405,70313.1130537058,192188.099418582,0,0,0,0,0,-256.827775603128,318396079
0.00019,0.142857142857143,0.1,-12.735416391221,3.98174136056986,0.616181624213957,3.9510148500911,-4.99398885839809,3.68e-05,5301405,220309.734491065,42186.955109336,0,0,0,0,0,-264.051914786321,892845831
0.00019,0.142857142857143,0.1,-13.8241667977334,3.95843603823602,0.781788411421564,4.2892300104703,-4.74599308969749,3.68000000000001e-05,5301405,220313.694909074,42187.6825600896,0,0,0,0,0,-263.112618959255,1041580883
