"sigma_M","gamma","b_3","sigma_P","rho","b_1","b_2","mu_H","N_0","I_0","R_0","C_0","r","g","epsilon","LL","seed"
1e-04,0.0588235294117647,-1.62069018194188,0.64069328125,0.499855433987243,3.3639816656343,5.24809725517393,3.67999999999999e-05,5301405,440624.831174978,0,0,0,0,0,-684.836624625885,400043119
9.99999999999999e-05,0.0588235294117647,-1.76656462868646,0.64069328125,0.605649269204383,1.6487871377601,4.91664757188803,3.67999999999999e-05,5301405,440624.895080906,0,0,0,0,0,-612.095599575839,128041138
1e-04,0.0588235294117647,-9.4897926931067,0.07830015625,0.0264809629550291,1.09077986558778,0.681940790137333,3.68e-05,5301405,253127.640871711,0,0,0,0,0,-906.261474342963,618431117
1e-04,0.0588235294117647,-8.42065088951652,0.07830015625,0.0650155311640518,0.87268866282993,0.830342870854974,3.67999999999999e-05,5301405,253126.162919888,0,0,0,0,0,-985.393481229867,475451503
1e-04,0.0588235294117647,-8.81765773530004,0.07830015625,0.0493261037333142,0.0883625800768536,1.02228706315929,3.67999999999999e-05,5301405,253124.898939893,0,0,0,0,0,-985.360307184623,731482750
9.99999999999999e-05,0.0588235294117647,-7.58762028500405,0.07830015625,0.0306895788404854,1.85284544317488,0.14132659468952,3.68e-05,5301405,253126.214061826,0,0,0,0,0,-879.348220793556,266143893
1e-04,0.0588235294117647,-8.35438448512993,0.07830015625,0.0209313818708503,0.239090971474896,0.554668948901878,3.67999999999999e-05,5301405,253125.715510034,0,0,0,0,0,-948.868728108978,240532423
1e-04,0.0588235294117647,2.24848816530847,0.57820515625,0.00841827945414283,10.8531827415306,-5.03206916926032,3.68e-05,5301405,553124.660605298,0,0,0,0,0,-638.331446677744,118629576
1e-04,0.0588235294117647,2.33782214749563,0.57820515625,0.00861078667521437,10.5531362127315,-5.00585225636014,3.67999999999999e-05,5301405,553127.221949192,0,0,0,0,0,-640.488063334691,752610105
1e-04,0.0588235294117647,2.23906987575798,0.57820515625,0.00845182665768518,10.5760137210043,-4.88401057301676,3.67999999999999e-05,5301405,553127.269567969,0,0,0,0,0,-640.342856410779,133736967
1e-04,0.0588235294117647,3.23506489566854,0.57820515625,0.00480021827209006,7.48794179979309,3.51789264871715,3.68e-05,5301405,553125.297579594,0,0,0,0,0,-595.218476147601,946097551
1e-04,0.0588235294117647,2.62358893450106,0.57820515625,0.00902775228880537,9.26685642446241,-4.97446632382921,3.68e-05,5301405,553124.149825724,0,0,0,0,0,-652.137542748706,389092012
1e-04,0.0588235294117647,-12.9127010801167,0.82815765625,0.0522074618893211,3.60937064753886,-1.66570093342306,3.67999999999999e-05,5301405,103125.781551327,0,0,0,0,0,-956.257943070321,237389895
9.99999999999999e-05,0.0588235294117647,-13.4618739276883,0.82815765625,0.465660487754256,5.35256448181296,0.763521269871315,3.68e-05,5301405,103125.838133845,0,0,0,0,0,-781.683630025134,579378978
1e-04,0.0588235294117647,-12.15235123413,0.82815765625,0.0503511736621548,3.32481528151679,-1.76406718725881,3.67999999999999e-05,5301405,103123.513154603,0,0,0,0,0,-956.231362014699,616359201
1e-04,0.0588235294117647,-13.2715451486772,0.82815765625,0.0497311329732952,3.71441465954989,-1.5012913747865,3.67999999999999e-05,5301405,103125.487941972,0,0,0,0,0,-956.346893016205,1054469114
1e-04,0.0588235294117647,-12.6314403246057,0.82815765625,0.0335182938103264,3.45700100422113,-1.28312365595387,3.67999999999999e-05,5301405,103125.725804002,0,0,0,0,0,-956.238016790761,503199105
1e-04,0.0588235294117647,-4.21156340140734,0.32825265625,0.178162682891945,-1.58569655295495,-3.15634636024819,3.67999999999999e-05,5301405,403126.556431074,0,0,0,0,0,-411.659198708535,361604317
